,K,acc,precision,recall,f1
0,2900,0.39419642857142856,0.39081389194783867,0.39419642857142856,0.3574262890124277
1,2900,0.38973214285714286,0.387353457140481,0.38973214285714286,0.35645875804205657
2,2900,0.3841517857142857,0.3735416671857008,0.38415178571428577,0.3493813573607328
3,2900,0.38325892857142857,0.36945775147465687,0.3832589285714286,0.3472330230718228
4,2900,0.3964285714285714,0.3929581770249907,0.3964285714285714,0.3557916710418231
5,3250,0.38526785714285716,0.3885231970213442,0.38526785714285716,0.3507421300368333
6,3250,0.3966517857142857,0.38820543650168116,0.3966517857142857,0.36217837617115384
7,3250,0.38571428571428573,0.3814108041177195,0.3857142857142857,0.3547419338088731
8,3250,0.3861607142857143,0.3785845311419209,0.3861607142857143,0.35181108945769834
9,3250,0.39732142857142855,0.39392188531427524,0.3973214285714286,0.3612352681621781
10,3600,0.39888392857142857,0.39362715452724323,0.3988839285714285,0.36237310161862507
11,3600,0.384375,0.3775051420004475,0.384375,0.350045741674456
12,3600,0.3830357142857143,0.3790435340612236,0.38303571428571426,0.35111470945104417
13,3600,0.3919642857142857,0.383428808920536,0.3919642857142857,0.35532745523596954
14,3600,0.38526785714285716,0.3756651763777132,0.38526785714285716,0.3480281401315012
15,3950,0.3845982142857143,0.3819386185985061,0.3845982142857143,0.3495599264149082
16,3950,0.40669642857142857,0.3956373426287618,0.40669642857142857,0.3739727537637303
17,3950,0.39375,0.38398837320730983,0.39375,0.3603369352578029
18,3950,0.3848214285714286,0.37101028312077267,0.38482142857142854,0.3492311891059456
19,3950,0.39799107142857143,0.38978638327300824,0.3979910714285715,0.3622518209974259
20,4300,0.38816964285714284,0.3824111666214885,0.38816964285714284,0.354168490899205
21,4300,0.39352678571428573,0.37958246168600274,0.39352678571428573,0.35625579490936643
22,4300,0.3924107142857143,0.38662904073443005,0.3924107142857143,0.36046352974992507
23,4300,0.37879464285714287,0.3793835434695643,0.3787946428571429,0.3480608538198278
24,4300,0.3872767857142857,0.38342878595090146,0.3872767857142857,0.35137690296829094
25,4650,0.38325892857142857,0.39323713024843965,0.38325892857142857,0.35449796975100945
26,4650,0.37611607142857145,0.3709458079125384,0.3761160714285714,0.3452982368817693
27,4650,0.39419642857142856,0.382825109161222,0.39419642857142856,0.36043311095924147
28,4650,0.3919642857142857,0.38514987524065414,0.39196428571428577,0.3594317876772327
29,4650,0.39285714285714285,0.38660808565808824,0.39285714285714285,0.35691871852622453
