,K,acc,precision,recall,f1
0,100,0.0375,0.007358272153001881,0.0375,0.011346057421509945
1,100,0.033035714285714286,0.0026563933762726757,0.03303571428571429,0.004890196645927809
2,100,0.033928571428571426,0.008683996782704985,0.033928571428571426,0.008859964197143067
3,100,0.018973214285714284,0.0016241936540039538,0.018973214285714288,0.0025344612201658135
4,100,0.011383928571428571,0.00074659881910322,0.011383928571428571,0.0013253550255918887
5,450,0.1513392857142857,0.14808630991079835,0.1513392857142857,0.11153480136145633
6,450,0.09776785714285714,0.08498073684202072,0.09776785714285713,0.056726694588008095
7,450,0.13816964285714287,0.11476436771736298,0.13816964285714287,0.08602259134462817
8,450,0.07700892857142858,0.04390408380601354,0.07700892857142858,0.04457017086113705
9,450,0.12120535714285714,0.09125474149868337,0.12120535714285714,0.0757343373560862
10,800,0.26026785714285716,0.25122558175937526,0.26026785714285716,0.1961153359628527
11,800,0.2752232142857143,0.23692958233372755,0.2752232142857143,0.21221155176044829
12,800,0.28169642857142857,0.24866752929072963,0.2816964285714285,0.21327732883172906
13,800,0.2654017857142857,0.2511472284169896,0.2654017857142857,0.20038512698185007
14,800,0.2564732142857143,0.22719709929966342,0.2564732142857143,0.18701873651717846
15,1150,0.3142857142857143,0.2759738107540289,0.3142857142857143,0.2533780973214264
16,1150,0.31495535714285716,0.3076034320117601,0.31495535714285716,0.25279813150207053
17,1150,0.31674107142857144,0.2844200892633537,0.31674107142857144,0.2522481461605799
18,1150,0.31808035714285715,0.2644103446188326,0.3180803571428571,0.24929719451229482
19,1150,0.32901785714285714,0.26647096177273283,0.32901785714285714,0.26012074794343565
20,1500,0.3339285714285714,0.3151372567270575,0.33392857142857146,0.28188501456866377
21,1500,0.35535714285714287,0.30833705685608226,0.3553571428571428,0.2978362268692597
22,1500,0.3566964285714286,0.32002022410554254,0.3566964285714286,0.3035835827385886
23,1500,0.33816964285714285,0.29657312866667995,0.3381696428571428,0.28024520765262473
24,1500,0.33995535714285713,0.3181079270883199,0.3399553571428572,0.2869355856342282
25,1850,0.37254464285714284,0.36147322168080676,0.3725446428571428,0.3214947312328981
26,1850,0.36964285714285716,0.3274852326684309,0.36964285714285716,0.31986960002316767
27,1850,0.3752232142857143,0.32767316716066325,0.37522321428571426,0.32135265210990416
28,1850,0.3549107142857143,0.3507939178218212,0.3549107142857143,0.306737034528202
29,1850,0.3640625,0.335926888980604,0.3640625,0.30660859812570573
30,2200,0.37901785714285713,0.3606814677080089,0.37901785714285713,0.33237250959690945
31,2200,0.3747767857142857,0.32476183199898717,0.3747767857142857,0.3244361357271119
32,2200,0.36607142857142855,0.325334109026858,0.3660714285714286,0.31527934475023645
33,2200,0.36808035714285714,0.3473549509734387,0.36808035714285714,0.3229226510775828
34,2200,0.3609375,0.3365465777675095,0.36093749999999997,0.3191029183840719
35,2550,0.37924107142857144,0.36517882905052423,0.37924107142857144,0.333811492130872
36,2550,0.37544642857142857,0.3377598939990736,0.37544642857142857,0.32639342011187117
37,2550,0.36294642857142856,0.33303015133826547,0.36294642857142856,0.3209154914779504
38,2550,0.37075892857142856,0.34397857508201535,0.37075892857142856,0.32590517715524037
39,2550,0.36629464285714286,0.33214792735105997,0.3662946428571428,0.31733107691658086
40,2900,0.37455357142857143,0.35826098483560054,0.37455357142857143,0.3377299961009206
41,2900,0.3808035714285714,0.3506134985953777,0.38080357142857146,0.33960494762611837
42,2900,0.3674107142857143,0.3526408378803235,0.36741071428571426,0.32670811199045885
43,2900,0.3705357142857143,0.35918128985956693,0.37053571428571425,0.3294105901134072
44,2900,0.3595982142857143,0.3391494300899157,0.35959821428571426,0.3202999889003183
45,3250,0.3734375,0.3618463315969303,0.3734375,0.3355031216653104
46,3250,0.378125,0.3674051539277071,0.378125,0.3418765357471889
47,3250,0.3595982142857143,0.343087517128267,0.35959821428571426,0.32265486107716523
48,3250,0.36607142857142855,0.349453770354838,0.36607142857142855,0.32707226332908457
49,3250,0.3611607142857143,0.3462478398761152,0.3611607142857143,0.3185091462567735
50,3600,0.375,0.36301393402214743,0.375,0.33776978443785677
51,3600,0.375,0.3579551640999269,0.375,0.33900389018992305
52,3600,0.3609375,0.34304326579221833,0.36093749999999997,0.32802051764284
53,3600,0.35982142857142857,0.3615931318888722,0.35982142857142857,0.32843903004146113
54,3600,0.3611607142857143,0.3571590953558368,0.3611607142857143,0.3227976328671984
55,3950,0.3912946428571429,0.3728202700893387,0.3912946428571429,0.3534667687255363
56,3950,0.3848214285714286,0.3838167375463161,0.38482142857142854,0.3485920941899746
57,3950,0.3729910714285714,0.3582847218625894,0.3729910714285714,0.33868912855478905
58,3950,0.36674107142857143,0.3615718472280234,0.3667410714285714,0.3317414611503194
59,3950,0.375,0.37159683775538593,0.375,0.3364215132763192
60,4300,0.3879464285714286,0.37451286191054656,0.3879464285714286,0.3506874990844766
61,4300,0.37589285714285714,0.3690596190328449,0.37589285714285714,0.34140815024282145
