,K,acc,precision,recall,f1
0,100,0.019642857142857142,0.005046439418788603,0.019642857142857142,0.005619269856063076
1,100,0.023660714285714285,0.022047140393973718,0.02366071428571429,0.005088136847319076
2,100,0.018080357142857145,0.011794002507732954,0.018080357142857145,0.003809291044263902
3,100,0.028125,0.0039898736960614425,0.028124999999999997,0.004572001919251783
4,100,0.02611607142857143,0.0047120108138743386,0.026116071428571426,0.005600602582212479
5,450,0.15736607142857142,0.12926144744460205,0.15736607142857142,0.08800376719992084
6,450,0.15691964285714285,0.16484022439703655,0.15691964285714285,0.11600998118447156
7,450,0.1939732142857143,0.18017395179123658,0.1939732142857143,0.12614082742436092
8,450,0.16205357142857144,0.14285482574770722,0.1620535714285714,0.10538694379801379
9,450,0.15691964285714285,0.17968726884813865,0.15691964285714285,0.09838160012799817
10,800,0.2674107142857143,0.2489859402296338,0.2674107142857143,0.1938858441024684
11,800,0.2917410714285714,0.27309781125238564,0.2917410714285714,0.22094452444330512
12,800,0.2761160714285714,0.2845391415048014,0.2761160714285714,0.20681585902628347
13,800,0.28504464285714287,0.24591401003202135,0.28504464285714287,0.20427157535264373
14,800,0.28683035714285715,0.26749708283743984,0.28683035714285715,0.21750105828728128
15,1150,0.3203125,0.26976414013470223,0.3203125,0.25159308048119233
16,1150,0.3549107142857143,0.3088685799061047,0.3549107142857143,0.2804890149444809
17,1150,0.3390625,0.2953163265812866,0.3390625,0.2661428112406602
18,1150,0.33549107142857143,0.2853703815591451,0.3354910714285714,0.26840844891496585
19,1150,0.33214285714285713,0.3223188290354895,0.33214285714285713,0.26037418055751504
20,1500,0.36808035714285714,0.3317601518572745,0.36808035714285714,0.3073404003391782
21,1500,0.37120535714285713,0.3167433445308802,0.37120535714285713,0.3109825440756338
22,1500,0.35825892857142855,0.314582020939537,0.35825892857142855,0.30113950418967866
23,1500,0.35401785714285716,0.3092745346454171,0.35401785714285716,0.29653068923541964
24,1500,0.3620535714285714,0.31132908144639954,0.3620535714285714,0.301412045671962
25,1850,0.37991071428571427,0.35092455572092063,0.3799107142857143,0.325816274286379
26,1850,0.37745535714285716,0.3240074930577883,0.37745535714285716,0.3200044034164313
27,1850,0.34866071428571427,0.3051887440220228,0.34866071428571427,0.2962544278338596
28,1850,0.36026785714285714,0.32065799806849515,0.36026785714285714,0.2988611901541244
