,K,acc,precision,recall,f1
0,100,0.038839285714285715,0.011073145799130768,0.03883928571428571,0.013713016764041516
1,100,0.016964285714285713,0.012972531828268128,0.016964285714285713,0.005744977798731255
2,100,0.031473214285714285,0.006525002035919149,0.031473214285714285,0.008935536877326625
3,100,0.019419642857142858,0.006492375176240243,0.019419642857142858,0.0047703233467998795
4,100,0.013616071428571429,0.017106849924666066,0.013616071428571429,0.003677161557090353
5,450,0.153125,0.16467589017551615,0.15312499999999998,0.10058190179876
6,450,0.16049107142857144,0.16398005257847897,0.16049107142857144,0.11386136699871113
7,450,0.16450892857142857,0.15004011069491524,0.16450892857142857,0.11369259612876081
8,450,0.140625,0.16327071770250914,0.140625,0.09804837708278538
9,450,0.11696428571428572,0.08016606987160299,0.11696428571428572,0.07705102912864348
10,800,0.2828125,0.256115409654133,0.28281249999999997,0.21758474836619301
11,800,0.29598214285714286,0.24489859138835884,0.29598214285714286,0.22997696936919473
12,800,0.29799107142857145,0.28721020455479007,0.2979910714285714,0.22775920060267543
13,800,0.32700892857142855,0.2744399277571643,0.3270089285714286,0.2534124267029287
14,800,0.016294642857142858,0.0004672313330425844,0.016294642857142858,0.000893438513227689
15,1150,0.33504464285714286,0.30259059139004085,0.33504464285714286,0.2792148054034524
16,1150,0.3508928571428571,0.28650747092337375,0.3508928571428571,0.28305973838396786
17,1150,0.34017857142857144,0.33504036694145406,0.34017857142857144,0.26924750678027354
18,1150,0.34464285714285714,0.2968649648145692,0.34464285714285714,0.28380611956788643
19,1150,0.3263392857142857,0.27209535774113136,0.3263392857142857,0.25491597406873145
20,1500,0.3669642857142857,0.3334305956815232,0.3669642857142857,0.31537934729423234
21,1500,0.37544642857142857,0.3262890470484694,0.3754464285714285,0.3128850712871732
22,1500,0.36361607142857144,0.32444877666669375,0.36361607142857144,0.3033662313456542
23,1500,0.3591517857142857,0.3243714516537234,0.35915178571428574,0.3098641641675901
24,1500,0.36964285714285716,0.3238148686859663,0.36964285714285716,0.30839530365606527
25,1850,0.3752232142857143,0.3734400186025095,0.37522321428571426,0.32950321581743375
26,1850,0.37388392857142855,0.34603799254810774,0.3738839285714286,0.32556212292094944
27,1850,0.36808035714285714,0.34713629303205296,0.36808035714285714,0.31752535754683364
28,1850,0.36183035714285716,0.32466565591588886,0.36183035714285716,0.31390318028857955
29,1850,0.3808035714285714,0.3545576448052517,0.3808035714285714,0.3282561935749522
30,2200,0.3776785714285714,0.38700401489777586,0.3776785714285714,0.33771336582585887
31,2200,0.3734375,0.36319641594717045,0.3734375,0.3354753385852003
32,2200,0.3678571428571429,0.3470131847777206,0.3678571428571428,0.3259688861864513
33,2200,0.359375,0.34001608102779235,0.359375,0.31958043303241673
34,2200,0.37142857142857144,0.3421704921890638,0.37142857142857144,0.3229847912334877
35,2550,0.3716517857142857,0.359129174762013,0.3716517857142857,0.3280477699368882
36,2550,0.384375,0.3693048140420757,0.384375,0.3455731521183574
37,2550,0.3625,0.33802482440500325,0.3625,0.31743527308610364
38,2550,0.3671875,0.3369497433476577,0.3671875,0.3228653567586099
39,2550,0.36183035714285716,0.35984198473159645,0.36183035714285716,0.3197797703327267
40,2900,0.37611607142857145,0.368889394071076,0.3761160714285714,0.34210226436652375
41,2900,0.3783482142857143,0.35911368027450224,0.3783482142857143,0.3413436893465327
42,2900,0.3729910714285714,0.3550600406361788,0.3729910714285714,0.3355758930680513
43,2900,0.36183035714285716,0.35394988045545606,0.36183035714285716,0.32225562767268945
44,2900,0.3794642857142857,0.36897613571744137,0.3794642857142857,0.3346530507955673
45,3250,0.37901785714285713,0.3630850351147715,0.37901785714285713,0.33930885324098425
46,3250,0.36875,0.36605172708704437,0.36875,0.33702347373568275
47,3250,0.37276785714285715,0.3574879113594215,0.3727678571428571,0.33675781096986057
48,3250,0.3654017857142857,0.3560751191530526,0.3654017857142857,0.3313311475057419
49,3250,0.38191964285714286,0.3775611402806761,0.38191964285714286,0.3396966948347819
50,3600,0.38191964285714286,0.3733086751375001,0.38191964285714286,0.34557076198242476
51,3600,0.3859375,0.3719610275830757,0.3859375,0.35252146197142104
