,K,precision,recall,f1
0,100,0.24163879598662208,0.1597567716970702,0.1923460898502496
1,100,0.19176136363636365,0.14925373134328357,0.167858253030774
2,100,0.22492401215805471,0.16362631288004423,0.18944
3,100,0.22949640287769785,0.17634051962410172,0.19943732416380117
4,100,0.22656826568265684,0.16970702045328911,0.19405815423514536
5,307,0.35108958837772397,0.4007739082365948,0.3742901393908106
6,307,0.32019704433497537,0.359314538419016,0.3386298515238343
7,307,0.33879781420765026,0.377003869541183,0.35688121402407114
8,307,0.33728395061728395,0.3775566611387507,0.3562858633281169
9,307,0.32502396931927136,0.3747927031509121,0.34813863928112965
10,514,0.3657112526539278,0.380873410724157,0.37313836988897914
11,514,0.34817012858555885,0.38916528468767275,0.3675280605586009
12,514,0.36185819070904646,0.4090657822001106,0.3840166061235081
13,514,0.3522954091816367,0.3902708678828082,0.37031209021767636
14,514,0.35667174023338405,0.38861249309010504,0.37195767195767193
15,721,0.39079822616407983,0.38971807628524047,0.3902574038195406
16,721,0.38207547169811323,0.3582089552238806,0.36975748930099855
17,721,0.3861442362294151,0.37589828634604755,0.380952380952381
18,721,0.3940415964024733,0.3875069098949696,0.3907469342251951
19,721,0.38617200674536256,0.37976782752902155,0.382943143812709
20,929,0.39081812831077106,0.36705362078496406,0.3785632839224629
21,929,0.38429994141769186,0.36263128800442235,0.3731513083048919
22,929,0.39002403846153844,0.3587617468214483,0.37374028217679245
23,929,0.4048606994665086,0.3775566611387507,0.39073226544622425
24,929,0.3909730363423212,0.3687119955776672,0.3795163584637269
25,1136,0.41857506361323155,0.3637368711995578,0.38923395445134573
26,1136,0.3992443324937028,0.3504698728579326,0.3732705328230792
27,1136,0.40244648318042814,0.3637368711995578,0.3821138211382114
28,1136,0.4044803982576229,0.359314538419016,0.3805620608899297
29,1136,0.4156091370558376,0.36207849640685463,0.3870014771048744
30,1343,0.4192740926157697,0.37037037037037035,0.39330789550924566
31,1343,0.3991144845034788,0.34881149806522943,0.3722713864306785
32,1343,0.40311937612477505,0.3714759535655058,0.38665132336018415
33,1343,0.4037304452466907,0.37092316196793806,0.38663209449726293
34,1343,0.4150470219435737,0.36594803758982863,0.3889541715628672
35,1550,0.42483660130718953,0.359314538419016,0.3893381251871818
36,1550,0.39845758354755784,0.3427307904919845,0.3684992570579494
37,1550,0.4065864471184294,0.3548922056384743,0.3789846517119244
38,1550,0.4182660489741893,0.34936428966279715,0.38072289156626504
39,1550,0.40561224489795916,0.351575456053068,0.37666567959727565
40,1757,0.42108753315649866,0.3510226644555003,0.3828760928549894
41,1757,0.41325136612021857,0.33443891652846874,0.3696914146043385
42,1757,0.42312834224598933,0.34991708126036486,0.38305597579425116
43,1757,0.40535248041775457,0.34328358208955223,0.3717449865309788
44,1757,0.43706777316735823,0.34936428966279715,0.38832565284178194
45,1964,0.43857142857142856,0.33941404090657823,0.38267373013399814
46,1964,0.4217638691322902,0.32780541735765617,0.368895800933126
47,1964,0.4279918864097363,0.34991708126036486,0.38503649635036497
48,1964,0.4251207729468599,0.34051962410171366,0.378146101903008
49,1964,0.4476058292852186,0.35655058043117743,0.39692307692307693
50,2171,0.4352517985611511,0.33443891652846874,0.37824320100031256
51,2171,0.43576642335766425,0.33001658374792703,0.37558980811575965
52,2171,0.41764300482425915,0.33499170812603646,0.3717791411042945
53,2171,0.4375446109921485,0.3388612493090105,0.38193146417445484
54,2171,0.43968593861527483,0.34051962410171366,0.3838006230529595
55,2379,0.4376770538243626,0.3416252072968491,0.3837317603228811
56,2379,0.44584569732937684,0.3322277501381979,0.3807412100095026
57,2379,0.4363124560168895,0.3427307904919845,0.3839009287925697
58,2379,0.4268551236749117,0.33388612493090103,0.37468982630272957
59,2379,0.45454545454545453,0.33443891652846874,0.38535031847133755
60,2586,0.4404580152671756,0.3189607517965727,0.36999038153254254
61,2586,0.43093093093093093,0.31730237700386954,0.36548869786692134
62,2586,0.43497428361498897,0.32725262576008846,0.37350157728706623
63,2586,0.43462643678160917,0.33443891652846874,0.3780068728522336
64,2586,0.4390613171839515,0.3206191265892758,0.3706070287539936
65,2793,0.4458109146810146,0.3206191265892758,0.37299035369774913
66,2793,0.43454258675078866,0.30458817025981205,0.3581410464738382
67,2793,0.45194424064563465,0.34051962410171366,0.38839848675914246
68,2793,0.44069015097052483,0.3388612493090105,0.38312499999999994
69,2793,0.45531587057010786,0.32669983416252074,0.3804312841969746
