,precision,recall,f1
0,0.3084808946877912,0.36594803758982863,0.3347661188369153
1,0.2828096118299446,0.3383084577114428,0.30807953687389883
2,0.2949512843224092,0.3681592039800995,0.3275141381853946
3,0.36670020120724345,0.40298507462686567,0.3839873584408744
4,0.33724340175953077,0.3814262023217247,0.357976653696498
5,0.3393194706994329,0.3969043670536208,0.365859872611465
6,0.36015538290788013,0.3587617468214483,0.35945721406812514
7,0.35509554140127386,0.36981757877280264,0.36230706742485785
8,0.3807509254362771,0.39800995024875624,0.38918918918918927
9,0.38022598870056495,0.37202874516307355,0.3760827046661079
10,0.3639417693169093,0.359314538419016,0.3616133518776078
11,0.38834391229082516,0.37202874516307355,0.3800112930547713
12,0.38589211618257263,0.3598673300165838,0.3724256292906179
13,0.38966565349544074,0.3543394140409066,0.37116386797915457
14,0.3750734861845973,0.35268103924820343,0.36353276353276354
15,0.39744370054777844,0.3609729132117192,0.3783314020857474
16,0.4106562703053931,0.34936428966279715,0.37753882915173237
17,0.4057704112952732,0.3653952459922609,0.38452588714368824
18,0.3984136668700427,0.3609729132117192,0.37877030162413
19,0.4020227560050569,0.351575456053068,0.3751105868475376
20,0.4008567931456548,0.36207849640685463,0.3804821376706361
21,0.41272965879265094,0.347705914870094,0.37743774377437744
22,0.4280774550484094,0.3421779988944168,0.38033794162826423
23,0.4110032362459547,0.3510226644555003,0.37865235539654146
24,0.4159891598915989,0.33941404090657823,0.37382039573820397
25,0.4119601328903654,0.3427307904919845,0.3741701870850935
26,0.4232336956521739,0.34438916528468766,0.379762267601341
27,0.43970588235294117,0.33056937534549474,0.3774061218049858
28,0.4211267605633803,0.33056937534549474,0.37039331062248376
29,0.4313588850174216,0.3421779988944168,0.38162762022194824
30,0.43128654970760233,0.326147042564953,0.37141957821844507
31,0.4084507042253521,0.3206191265892758,0.3592443480953855
32,0.4348441926345609,0.33941404090657823,0.3812480596088171
33,0.43338008415147267,0.3416252072968491,0.3820710973724884
34,0.43870967741935485,0.3383084577114428,0.38202247191011235
35,0.41900205058099793,0.3388612493090105,0.3746943765281174
36,0.44972720187061577,0.3189607517965727,0.3732212160413972
37,0.4281437125748503,0.3161967938087341,0.36375198728139907
38,0.45334370139968894,0.32227750138197897,0.3767366720516963
39,0.444527736131934,0.32780541735765617,0.3773464842507159
40,0.43707093821510296,0.3167495854063018,0.3673076923076923
41,0.44245142002989535,0.32725262576008846,0.3762313314267557
